FID,Shape,OBJECTID,FIPSCODE,FIPSNUM,NAME *,LABEL *,TYPE,CNTY_CODE,SQKM,SQMILES,ACRES,VER,LAYOUT,PENINSULA,ShapeSTAre,ShapeSTLen,pop_d
78,Polygon,79,157,157,Tuscola,Tuscola County,County,157,2107.647,813.763,520805.19,17A,portrait,lower,4004307705,327788.777,65.52522
53,Polygon,54,107,107,Mecosta,Mecosta County,County,107,1478.283,570.766,365287.825,17A,landscape,lower,2825862824,212783.1755,69.566162
23,Polygon,24,47,47,Emmet,Emmet County,County,47,1252.942,483.761,309605.356,17A,portrait,lower,2553564898,318409.0562,70.512092
28,Polygon,29,57,57,Gratiot,Gratiot County,County,57,1479.298,571.157,365538.458,17A,landscape,lower,2795658776,212721.4415,73.118249
29,Polygon,30,59,59,Hillsdale,Hillsdale County,County,59,1570.962,606.549,388189.016,17A,portrait,lower,2838858691,214510.4724,75.433312
11,Polygon,12,23,23,Branch,Branch County,County,23,1345.131,519.355,332385.417,17A,landscape,lower,2432668086,197377.4184,86.401402
58,Polygon,59,117,117,Montcalm,Montcalm County,County,117,1865.471,720.259,460962.934,17A,landscape,lower,3527547934,268266.3039,92.472291
13,Polygon,14,27,27,Cass,Cass County,County,27,1316.15,508.166,325224.286,17A,landscape,lower,2379286211,195770.3073,101.535719
7,Polygon,8,15,15,Barry,Barry County,County,15,1493.487,576.636,369044.763,17A,landscape,lower,2759410416,210254.53,108.250265
36,Polygon,37,73,73,Isabella,Isabella County,County,73,1495.034,577.233,369426.916,17A,landscape,lower,2857881536,214079.795,111.559803
33,Polygon,34,67,67,Ionia,Ionia County,County,67,1501.142,579.592,370936.304,17A,landscape,lower,2805068782,211618.017,115.23796
74,Polygon,75,149,149,St. Joseph,St. Joseph County,County,149,1348.762,520.758,333282.825,17A,landscape,lower,2438710524,204069.65,117.025567
79,Polygon,80,159,159,Van Buren,Van Buren County,County,159,1613.374,622.924,398669.205,17A,landscape,lower,2947666327,232639.5424,121.33904
77,Polygon,78,155,155,Shiawassee,Shiawassee County,County,155,1399.981,540.533,345939.226,17A,portrait,lower,2616734849,205289.0049,125.977507
45,Polygon,46,91,91,Lenawee,Lenawee County,County,91,1970.474,760.801,486909.555,17A,landscape,lower,3561743925,241415.7023,130.68069
43,Polygon,44,87,87,Lapeer,Lapeer County,County,87,1715.946,662.527,424014.853,17A,portrait,lower,3220576402,237210.0188,133.760586
18,Polygon,19,37,37,Clinton,Clinton County,County,37,1486.923,574.101,367422.599,17A,landscape,lower,2778435394,210837.68,137.83289
2,Polygon,3,5,5,Allegan,Allegan County,County,5,2180.969,842.073,538923.422,17A,landscape,lower,4028375640,261622.0477,143.115858
55,Polygon,56,111,111,Midland,Midland County,County,111,1366.678,527.675,337709.883,17A,portrait,lower,2612919112,208780.8409,158.216705
12,Polygon,13,25,25,Calhoun,Calhoun County,County,25,1859.142,717.815,459399.014,17A,landscape,lower,3397388836,234935.677,187.091381
22,Polygon,23,45,45,Eaton,Eaton County,County,45,1499.559,578.98,370545.148,17A,landscape,lower,2770946153,210441.5854,188.5471
27,Polygon,28,55,55,Grand Traverse,Grand Traverse County,County,55,1268.839,489.899,313533.58,17A,portrait,lower,2510903285,317004.423,194.429872
73,Polygon,74,147,147,St. Clair,St. Clair County,County,147,1903.285,734.859,470306.821,17A,portrait,lower,3553998842,536617.5053,218.244588
37,Polygon,38,75,75,Jackson,Jackson County,County,75,1872.353,722.916,462663.569,17A,landscape,lower,3421990774,236026.3021,221.837669
8,Polygon,9,17,17,Bay,Bay County,County,17,1163.246,449.13,287441.27,17A,portrait,lower,2228216698,393049.7377,231.235945
72,Polygon,73,145,145,Saginaw,Saginaw County,County,145,2111.864,815.391,521847.242,17A,landscape,lower,3996290875,283572.876,233.17525
10,Polygon,11,21,21,Berrien,Berrien County,County,21,1502.944,580.287,371381.504,17A,portrait,lower,2719647909,247108.5524,265.933926
57,Polygon,58,115,115,Monroe,Monroe County,County,115,1444.09,557.564,356838.488,17A,landscape,lower,2612929973,307545.2929,277.639876
46,Polygon,47,93,93,Livingston,Livingston County,County,93,1515.185,585.013,374406.248,17A,landscape,lower,2800361817,212150.3625,331.378961
60,Polygon,61,121,121,Muskegon,Muskegon County,County,121,1365.542,527.236,337429.114,17A,landscape,lower,2579961945,242297.1623,331.418947
38,Polygon,39,77,77,Kalamazoo,Kalamazoo County,County,77,1502.105,579.963,371174.188,17A,portrait,lower,2744440203,209385.5952,451.196025
32,Polygon,33,65,65,Ingham,Ingham County,County,65,1451.086,560.265,358567.301,17A,portrait,lower,2681513994,207864.7574,508.52186
69,Polygon,70,139,139,Ottawa,Ottawa County,County,139,1493.554,576.662,369061.218,17A,portrait,lower,2791595950,235620.7415,513.650978
80,Polygon,81,161,161,Washtenaw,Washtenaw County,County,161,1869.63,721.865,461990.608,17A,landscape,lower,3417434378,236902.9652,515.689222
24,Polygon,25,49,49,Genesee,Genesee County,County,49,1681.328,649.161,415460.728,17A,portrait,lower,3149199801,238303.0855,625.756939
40,Polygon,41,81,81,Kent,Kent County,County,81,2256.75,871.332,557649.046,17A,portrait,lower,4228600835,265682.2356,755.139258
62,Polygon,63,125,125,Oakland,Oakland County,County,125,2348.143,906.619,580232.428,17A,portrait,lower,4347223561,264318.896,1405.664342
49,Polygon,50,99,99,Macomb,Macomb County,County,99,1253.069,483.811,309636.813,17A,portrait,lower,2322065731,247566.7003,1821.401332
81,Polygon,82,163,163,Wayne,Wayne County,County,163,1664.132,642.522,411211.496,17A,landscape,lower,3043911812,270287.7262,2791.988446
