County,avg_cost_per_marker,SourceCounty
Presque Isle,679.8,Delta
Roscommon,802.46,Delta
Schoolcraft,790.13,Delta
Dickinson,554.11,Dickinson
Alger,910.19,Dickinson
Arenac,934.41,Dickinson
Charlevoix,1410.45,Dickinson
Cheboygan,703.96,Dickinson
Gladwin,759.68,Dickinson
Gogebic,554.11,Dickinson
Iron,480.42,Dickinson
Keweenaw,1067.27,Dickinson
Marquette,1321.73,Dickinson
Presque Isle,679.8,Dickinson
Eaton,787.96,Eaton
Allegan,751.4,Eaton
Clinton,938.03,Eaton
Grand Traverse,836.55,Eaton
Ionia,820.09,Eaton
Isabella,728.87,Eaton
Lapeer,977.09,Eaton
Saginaw,1017.52,Eaton
Shiawassee,848.71,Eaton
St. Clair,1678.03,Eaton
St. Joseph,927.18,Eaton
Emmet,1152.14,Emmet
Antrim,1139.45,Emmet
Barry,645.22,Emmet
Benzie,595.49,Emmet
Branch,832.06,Emmet
Clare,709.14,Emmet
Iosco,892.77,Emmet
Missaukee,653.48,Emmet
Montcalm,760.74,Emmet
Ogemaw,916.2,Emmet
Osceola,539.31,Emmet
Genesee,1439.92,Genesee
Allegan,751.4,Genesee
Berrien,1208.9,Genesee
Eaton,787.96,Genesee
Grand Traverse,836.55,Genesee
Ingham,1029.19,Genesee
Kalamazoo,1189.2,Genesee
Monroe,1095.1,Genesee
Saginaw,1017.52,Genesee
St. Clair,1678.03,Genesee
Washtenaw,1373.27,Genesee
Gladwin,759.68,Gladwin
Arenac,934.41,Gladwin
Charlevoix,1410.45,Gladwin
Cheboygan,703.96,Gladwin
Dickinson,554.11,Gladwin
Gogebic,554.11,Gladwin
Iosco,892.77,Gladwin
Iron,480.42,Gladwin
Marquette,1321.73,Gladwin
Midland,802.06,Gladwin
Missaukee,653.48,Gladwin
Gogebic,554.11,Gogebic
Alcona,768.44,Gogebic
Alger,910.19,Gogebic
Baraga,1092.72,Gogebic
Charlevoix,1410.45,Gogebic
Dickinson,554.11,Gogebic
Gladwin,759.68,Gogebic
Iron,480.42,Gogebic
Keweenaw,1067.27,Gogebic
Marquette,1321.73,Gogebic
Missaukee,653.48,Gogebic
Grand Traverse,836.55,Grand Traverse
Allegan,751.4,Grand Traverse
Clinton,938.03,Grand Traverse
Eaton,787.96,Grand Traverse
Isabella,728.87,Grand Traverse
Lapeer,977.09,Grand Traverse
Saginaw,1017.52,Grand Traverse
Shiawassee,848.71,Grand Traverse
St. Clair,1678.03,Grand Traverse
St. Joseph,927.18,Grand Traverse
Van Buren,1189.7,Grand Traverse
