County With Asterisks,County Without Asterisks and Trimmed,Maintenance?,In Review?,Total Remon Corners in County,Remon Corners Completed thru 2022 Grant Cycle,Percent Remon Corners Completed thru 2022 Grant Cycle,Average Spent per Corner Completed,Total State Grants Awarded thru 2022 Grant Cycle,Total State Grants Expended thru 2022 Grant cycle
Missaukee,Missaukee,No,No,2132,1632,0.7655,653.48,1066471.57,1066471.57
Monroe,Monroe,No,No,2231,1744,0.7817,1095.1,1971319.67,1909859.34
Montcalm,Montcalm,No,No,3415,2639,0.7728,760.74,2011554.73,2007592.12
Montmorency,Montmorency,No,No,2182,1672,0.7663,623.69,1047346.2,1042813.3
Muskegon**,Muskegon,Yes,No,2204,2210,1.0027,865.88,2019384.11,1913585.29
Newaygo,Newaygo,No,No,3394,3085,0.909,692.39,2136087.71,2136037.79
Oakland**,Oakland,Yes,No,4252,4415,1.0383,2637.67,11945795.18,11645310.13
Oceana,Oceana,No,No,2034,1781,0.8756,642.63,1145060.85,1144529.3
Ogemaw,Ogemaw,No,No,2829,1266,0.4475,916.2,1164587.87,1159908.26
Ontonagon,Ontonagon,No,No,5040,3450,0.6845,790.15,2176849.33,2726004.48
Osceola,Osceola,No,No,2807,2378,0.8472,539.31,1282543.85,1282489.23
Oscoda,Oscoda,No,No,2531,1865,0.7369,552.25,1029949.03,1029949.03
Otsego,Otsego,No,No,2100,1328,0.6324,766.63,1090347.25,1018085.48
Ottawa**,Ottawa,Yes,No,2901,2901,1,919.73,2909343.81,2668131.13
Presque Isle,Presque Isle,No,No,2627,1785,0.6795,679.8,1218007.68,1213434.97
Roscommon,Roscommon,No,No,2712,1818,0.6704,802.46,1469422.55,1458874.38
Saginaw,Saginaw,No,No,2894,2416,0.8348,1017.52,2553956.88,2458332.81
Sanilac,Sanilac,No,No,4602,2312,0.5024,831.49,1922891.68,1922409.92
Schoolcraft,Schoolcraft,No,No,4640,2531,0.5455,790.13,2000154.35,1999829.81
Shiawassee,Shiawassee,No,No,2206,1987,0.9007,848.71,1667226.77,1686383.37
St. Clair,St. Clair,No,No,3550,1686,0.4749,1678.03,2837500.09,2829153.91
St. Joseph,St. Joseph,No,No,2801,1515,0.5409,927.18,1406367.64,1404684.36
Tuscola,Tuscola,No,No,3992,2010,0.5035,894.46,1798745.48,1797873.8
Van Buren,Van Buren,No,No,3667,1703,0.4644,1189.7,2060322.31,2026060.06
Washtenaw,Washtenaw,No,No,3373,2552,0.7566,1373.27,3557357.2,3504583.69
Wayne**,Wayne,Yes,No,4110,3638,0.8852,4110.19,15875864.79,14952865.38
Wexford,Wexford,No,No,2140,1608,0.7514,744.18,1196743.94,1196645.23
