OBJECTID_1 *,Shape *,OBJECTID,FIPSCODE,FIPSNUM,NAME,LABEL,TYPE,CNTY_CODE,SQKM,SQMILES,ACRES,VER,LAYOUT,PENINSULA,ShapeSTAre,ShapeSTLen,Shape_Length,Shape_Area,Sum ACRES,Summarized Area in ACRES,Count of Polygons,wetlandd
33,Polygon,33,65,65,Ingham,Ingham County,County,65,1451.086,560.265,358567.301,17A,portrait,lower,2681513994,207864.7574,152902.1452,1451086008,50693.22466,50693.22686,12982,0.141377
34,Polygon,34,67,67,Ionia,Ionia County,County,67,1501.142,579.592,370936.304,17A,landscape,lower,2805068782,211618.017,154807.3009,1501142130,42027.90278,42028.03774,10128,0.113303
35,Polygon,35,69,69,Iosco,Iosco County,County,69,1466.275,566.129,362320.611,17A,landscape,lower,2869568709,238162.0259,170275.4469,1466275281,78854.68643,78854.68573,6508,0.217638
36,Polygon,36,71,71,Iron,Iron County,County,71,3136.152,1210.87,774951.774,17A,landscape,upper,6548810382,381966.6725,264468.3554,3136152333,197720.4185,197720.4163,10771,0.255139
37,Polygon,37,73,73,Isabella,Isabella County,County,73,1495.034,577.233,369426.916,17A,landscape,lower,2857881536,214079.795,154838.0217,1495033786,53081.40616,53081.45418,12311,0.143686
38,Polygon,38,75,75,Jackson,Jackson County,County,75,1872.353,722.916,462663.569,17A,landscape,lower,3421990774,236026.3021,174620.2994,1872353197,105286.8269,105286.8279,16592,0.227567
39,Polygon,39,77,77,Kalamazoo,Kalamazoo County,County,77,1502.105,579.963,371174.188,17A,portrait,lower,2744440203,209385.5952,154906.0211,1502104821,54554.79827,54554.79077,9935,0.146979
40,Polygon,40,79,79,Kalkaska,Kalkaska County,County,79,1476.637,570.13,364881.104,17A,portrait,lower,2923606770,216513.0923,153874.6789,1476637339,50614.14229,50614.13747,5856,0.138714
41,Polygon,41,81,81,Kent,Kent County,County,81,2256.75,871.332,557649.046,17A,portrait,lower,4228600835,265682.2356,194021.3602,2256749925,70753.77952,70753.87135,19192,0.126879
42,Polygon,42,83,83,Keweenaw,Keweenaw County,County,83,1458.033,562.947,360283.964,17A,landscape,upper,3208259907,1122690.446,753472.6611,1458033175,81695.98451,81696.08368,5191,0.226755
43,Polygon,43,85,85,Lake,Lake County,County,85,1486.334,573.874,367277.199,17A,portrait,lower,2874359262,214738.7921,154413.8678,1486334099,42318.29354,42318.30033,7602,0.115222
44,Polygon,44,87,87,Lapeer,Lapeer County,County,87,1715.946,662.527,424014.853,17A,portrait,lower,3220576402,237210.0188,173088.7389,1715945707,58686.65569,58686.65346,14702,0.138407
45,Polygon,45,89,89,Leelanau,Leelanau County,County,89,972.608,375.524,240334.137,17A,portrait,lower,1942658532,404657.4532,285804.7075,972608221,36338.29716,36338.31581,2338,0.151199
46,Polygon,46,91,91,Lenawee,Lenawee County,County,91,1970.474,760.801,486909.555,17A,landscape,lower,3561743925,241415.7023,179594.2333,1970474278,41949.77602,41949.77763,10473,0.086155
47,Polygon,47,93,93,Livingston,Livingston County,County,93,1515.185,585.013,374406.248,17A,landscape,lower,2800361817,212150.3625,156050.6151,1515184645,72164.90631,72164.9059,23915,0.192745
48,Polygon,48,95,95,Luce,Luce County,County,95,2398.85,926.197,592762.273,17A,portrait,upper,5058757262,298598.5573,205553.8312,2398849643,265180.9308,265180.9636,7318,0.447365
49,Polygon,49,97,97,Mackinac,Mackinac County,County,97,2754.242,1063.414,680580.7,17A,landscape,upper,5726294191,1089943.279,757167.2601,2754242035,279447.9768,279448.0383,13447,0.410602
50,Polygon,50,99,99,Macomb,Macomb County,County,99,1253.069,483.811,309636.813,17A,portrait,lower,2322065731,247566.7003,181913.686,1253069220,23321.24559,23321.24705,7084,0.075318
51,Polygon,51,101,101,Manistee,Manistee County,County,101,1443.33,557.27,356650.805,17A,landscape,lower,2823578952,221364.8021,158296.6733,1443330143,54268.01586,54269.21755,3841,0.152163
